"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"日付/時刻：トランザクションの掲載日/時刻"
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"注：開始日が2025年1月1日以降のレポートには、掲載日でインデックスが作成されています。決済済みトランザクションと留保中トランザクションの両方が含まれており、2つの新しい列があります。 インテグレーションやサードパーティのマッピングを更新することが必要になる場合があります。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計","トランザクションのステータス","トランザクション開始日"
"2026/08/01 10:24:05 JST","12409656253","注文","250-6427622-9588645","2J-O32V-SEZA","NEO(ネオ) ドッグスターNEO ササミ巻きクッキー チーズ 8本入×2袋セット 犬用 おやつ","3","amazon.jp","出品者","","新潟県","943-089","","3,218","322","0","0","0","0","0","0","0","0","-327","0","0","0","3,213","支払い実行済み","2026/08/10 3:43:43 JST"
"2026/08/01 13:42:22 JST","12397487423","配送サービス","249-3945644-0726253","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:22 JST"
"2026/08/01 13:42:25 JST","12397487423","配送サービス","503-8175741-9343825","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-732","-732","支払い実行済み","2026/08/01 13:42:25 JST"
"2026/08/01 13:42:25 JST","12397487423","配送サービス","250-0715095-3892630","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-663","-663","支払い実行済み","2026/08/01 13:42:25 JST"
"2026/08/01 13:42:25 JST","12397487423","配送サービス","249-9722401-1652653","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-539","-539","支払い実行済み","2026/08/01 13:42:25 JST"
"2026/08/01 13:42:28 JST","12397487423","配送サービス","250-4277620-3548614","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:28 JST"
"2026/08/01 13:42:28 JST","12397487423","配送サービス","250-3935392-8757450","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:28 JST"
"2026/08/01 13:42:28 JST","12397487423","配送サービス","250-0310741-3430263","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:28 JST"
"2026/08/01 13:42:31 JST","12397487423","配送サービス","250-0690327-7747054","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:31 JST"
"2026/08/01 13:42:31 JST","12397487423","配送サービス","249-0597748-3956650","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:31 JST"
"2026/08/01 13:42:31 JST","12397487423","配送サービス","503-7876512-4397403","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:31 JST"
"2026/08/01 13:42:31 JST","12397487423","配送サービス","249-2200428-0378257","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/08/01 13:42:31 JST"
