"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"日付/時刻：トランザクションの掲載日/時刻"
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"注：開始日が2025年1月1日以降のレポートには、掲載日でインデックスが作成されています。決済済みトランザクションと留保中トランザクションの両方が含まれており、2つの新しい列があります。 インテグレーションやサードパーティのマッピングを更新することが必要になる場合があります。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計","トランザクションのステータス","トランザクション開始日"
"2026/07/01 7:54:03 JST","12385292663","注文","249-7729072-7298218","pr_1296040_F_20260401_30194040_0001","ロイヤルカナン FHN インドア +7 猫用 400g フィーライン ヘルス ニュートリション ドライ キャットフード チキン�","1","amazon.jp","Amazon","","千葉県","272-013","","1,635","163","0","0","0","0","0","0","0","0","-305","-425","0","0","1,068","支払い実行済み","2026/07/08 20:48:14 JST"
"2026/07/01 14:12:33 JST","12372724483","配送サービス","250-9584592-2083822","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/07/01 14:12:33 JST"
"2026/07/01 14:12:33 JST","12372724483","配送サービス","249-8086226-9635052","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/07/01 14:12:33 JST"
"2026/07/01 14:12:33 JST","12372724483","配送サービス","250-5321669-3122251","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-491","-491","支払い実行済み","2026/07/01 14:12:33 JST"
"2026/07/01 14:12:33 JST","12372724483","配送サービス","250-2029737-9265407","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-539","-539","支払い実行済み","2026/07/01 14:12:33 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","250-5900194-9030205","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-540","-540","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","249-0792394-1151000","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-613","-613","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","250-5204592-3348613","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","250-2171396-6886246","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-491","-491","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","250-1310843-8180657","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-539","-539","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","503-5858391-3719867","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-539","-539","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","503-9826218-2010235","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","503-0208954-8029404","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-738","-738","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:36 JST","12372724483","配送サービス","503-9796264-9759018","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-954","-954","支払い実行済み","2026/07/01 14:12:36 JST"
"2026/07/01 14:12:39 JST","12372724483","配送サービス","503-7532027-2116604","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-738","-738","支払い実行済み","2026/07/01 14:12:39 JST"
"2026/07/01 14:12:39 JST","12372724483","配送サービス","503-0431731-7297401","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-448","-448","支払い実行済み","2026/07/01 14:12:39 JST"
"2026/07/01 14:13:05 JST","12372724483","配送サービス","249-9618619-8239865","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-438","-438","支払い実行済み","2026/07/01 14:13:05 JST"
"2026/07/01 14:13:14 JST","12372724483","配送サービス","250-9609782-8548615","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:14 JST"
"2026/07/01 14:13:14 JST","12372724483","配送サービス","503-8425356-0066246","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:14 JST"
"2026/07/01 14:13:17 JST","12372724483","配送サービス","503-0556664-8245418","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:17 JST"
"2026/07/01 14:13:17 JST","12372724483","配送サービス","250-2317951-8206245","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:17 JST"
