（親）ASIN,（子）ASIN,タイトル,SKU,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0H7437XRV,B0H7437XRV,【セット品】アイスノン シャツミスト ICE KING 本体300ml＋詰替280ml セット 白元アース 冷感スプレー 衣類用 消臭 除菌 瞬間冷却 暑さ対策 熱中症対策 通勤 通学 スポーツ 作業着 アウトドア 大容量セット,b09tdkbh5f,"2,175",52,0.34%,0.84%,"2,767",65,0.30%,0.74%,98.70%,100.00%,137,9,6.30%,17.31%,"￥391,360","￥24,820",130,5
B0GSQGD2Z6,B0GSQDYTFZ,クーリア シール ボンボンドロップシール すいーつボンボン 01215,pr_1296040_20260704_31478674_0001,"21,368",49,3.36%,0.79%,"27,739",71,2.97%,0.81%,22.65%,17.78%,92,2,0.43%,4.08%,"￥85,199","￥1,900",86,1
B0DPFPJ7XD,B0DPFPJ7XD,チャオ ちゅーる 1歳までの子ねこ用バラエティ 3種アソート 40本 （オリジナルおしぼりセット）猫用 キャットフード,AN-6RDB-97UY,722,6,0.11%,0.10%,933,9,0.10%,0.10%,99.77%,100.00%,88,2,12.19%,33.33%,"￥246,224","￥5,596",83,2
B0H38NZN4X,B0H38NZN4X,【まとめ買い】熱中対策 シャツクール 冷感ストロング 詰替用 250ml×4個セット ＋ オリジナルスパウトパウチ付き 冷感スプレー 衣類用 ひんやり 冷却スプレー 熱中症対策 暑さ対策 汗対策 消臭 通勤 通学 作業着 アウトドア,88-70W1-XZMJ,851,23,0.13%,0.37%,"1,147",25,0.12%,0.29%,99.42%,100.00%,97,16,11.40%,69.57%,"￥271,060","￥47,680",78,8
B0H7PDFT1Q,B0H7PDFT1Q,【セット品】小林製薬 熱中対策 シャツクール 冷感ストロング 本体100ml+詰替250ml 衣類用冷感スプレー 衣類にスプレーするだけ 汗をかくたびひんやり持続 消臭 除菌 暑さ対策 通勤 通学 スポーツ 屋外作業,JE-7JGP-O8IA,680,19,0.11%,0.31%,888,23,0.10%,0.26%,99.00%,100.00%,54,3,7.94%,15.79%,"￥104,520","￥5,740",53,3
B0H2W8TN9T,B0H2W8TN9T,【まとめ買い】ロッシモイストエイド 馬油ナチュラルミルクローション 485ml×4個 オリジナルスパウトパウチ付き 大容量 ボディミルク 保湿 乾燥肌 全身用 家族用 ポンプタイプ スキンケア (4),HR-ZDMA-9O7N,354,10,0.06%,0.16%,513,17,0.05%,0.19%,99.78%,100.00%,62,16,17.51%,160.00%,"￥221,960","￥57,280",50,7
B0GSQGD2Z6,B0GSQHT9VX,クーリア シール ボンボンドロップシール うぃっしゅボンボン 01214,pr_1296040_20260704_31478669_0001,"22,954",61,3.61%,0.98%,"29,251",77,3.13%,0.88%,14.49%,11.86%,47,1,0.20%,1.64%,"￥42,999",￥950,46,1
B00NOXLDH4,B00NOXLDH4,日本カルシウム工業 冷水筒浄水パック 水道水の塩素・カルキを99%カット アルカリイオン水が簡単,pr_1296040_20260108_29191932_0001,607,5,0.10%,0.08%,918,6,0.10%,0.07%,54.94%,75.00%,58,0,9.56%,0.00%,"￥98,666",￥0,43,0
B0F746FDX1,B0DNTM1LPB,マルカン インコのおやつ かじりま専科 ２本入り 鳥 おやつ スナック・ビスケット (３袋),N7-TSZM-WM23,199,2,0.03%,0.03%,266,3,0.03%,0.03%,100.00%,100.00%,46,0,23.12%,0.00%,"￥68,908",￥0,43,0
B0FM44VB6Z,B0FL297CY2,クーリア シールバインダー とうめいシールバインダー クリア 01065,pr_1296040_20260330_30175449_0001,"1,956",7,0.31%,0.11%,"2,989",7,0.32%,0.08%,39.43%,0.00%,46,0,2.35%,0.00%,"￥55,900",￥0,43,0
