（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0DPFPJ7XD,B0DPFPJ7XD,チャオ ちゅーる 1歳までの子ねこ用バラエティ 3種アソート 40本 （オリジナルおしぼりセット）猫用 キャットフード,786,10,0.05%,0.09%,"1,043",11,0.04%,0.07%,99.90%,100.00%,126,5,16.03%,50.00%,"￥352,548","￥13,990",115,3
B0FM44VB6Z,B0FL297CY2,クーリア シールバインダー とうめいシールバインダー クリア 01065,"1,642",3,0.10%,0.03%,"2,642",3,0.11%,0.02%,49.68%,100.00%,88,0,5.36%,0.00%,"￥97,950",￥0,81,0
B0H7437XRV,B0H7437XRV,【セット品】アイスノン シャツミスト ICE KING 本体300ml＋詰替280ml セット 白元アース 冷感スプレー 衣類用 消臭 除菌 瞬間冷却 暑さ対策 熱中症対策 通勤 通学 スポーツ 作業着 アウトドア 大容量セット,954,21,0.06%,0.20%,"1,295",39,0.05%,0.25%,100.00%,100.00%,85,11,8.91%,52.38%,"￥203,200","￥24,980",77,6
B0F746FDX1,B0DNTM1LPB,マルカン インコのおやつ かじりま専科 ２本入り 鳥 おやつ スナック・ビスケット (３袋),108,0,0.01%,0.00%,148,0,0.01%,0.00%,97.73%,0.00%,50,0,46.30%,0.00%,"￥74,900",￥0,43,0
B0HBZS241P,B0HBZS241P,【まとめ買い】トップ クリアリキッド 抗菌 部屋干し 詰め替え 500g ×3個セット | 洗濯洗剤 液体洗剤 生乾き臭対策 24時間抗菌 消臭 ライオン,767,4,0.05%,0.04%,"1,010",5,0.04%,0.03%,98.85%,100.00%,44,0,5.74%,0.00%,"￥76,120",￥0,40,0
B0H2W8TN9T,B0H2W8TN9T,【まとめ買い】ロッシモイストエイド 馬油ナチュラルミルクローション 485ml×4個 オリジナルスパウトパウチ付き 大容量 ボディミルク 保湿 乾燥肌 全身用 家族用 ポンプタイプ スキンケア (4),254,2,0.02%,0.02%,379,5,0.02%,0.03%,99.69%,100.00%,43,0,16.93%,0.00%,"￥153,940",￥0,39,0
B0F746FDX1,B0DNTLXPQ5,マルカン インコのおやつ かじりま専科 ２本入り 鳥 おやつ スナック・ビスケット (２袋),136,0,0.01%,0.00%,207,0,0.01%,0.00%,98.90%,0.00%,39,0,28.68%,0.00%,"￥46,220",￥0,38,0
B0D1P44HT9,B0D1P44HT9,エクセル 乳酸菌生成エキス コスモスラクト バード 30ml 鳥用 サプリ 綿棒付き,146,0,0.01%,0.00%,237,0,0.01%,0.00%,100.00%,0.00%,37,0,25.34%,0.00%,"￥88,430",￥0,37,0
B0FCBGT5FS,B0FCBGT5FS,【セット品】 いなば チャオ こだわり焼かつおディナー 4種 アソート 国産 30g×16袋 猫用 パウチ キャットフード バラエティセット,335,1,0.02%,0.01%,451,1,0.02%,0.01%,97.52%,0.00%,34,0,10.15%,0.00%,"￥74,638",￥0,34,0
B0H38NZN4X,B0H38NZN4X,【まとめ買い】熱中対策 シャツクール 冷感ストロング 詰替用 250ml×4個セット ＋ オリジナルスパウトパウチ付き 冷感スプレー 衣類用 ひんやり 冷却スプレー 熱中症対策 暑さ対策 汗対策 消臭 通勤 通学 作業着 アウトドア,593,16,0.04%,0.15%,793,17,0.03%,0.11%,99.72%,94.12%,42,12,7.08%,75.00%,"￥125,160","￥35,760",33,5
B0DQ83K574,B0DQ83K574,デビフ おすわりくん ササミ ７５ｇ ×４袋セット 犬用 おやつ,78,0,0.00%,0.00%,113,0,0.00%,0.00%,96.04%,0.00%,37,1,47.44%,0.00%,"￥44,094","￥1,180",32,1
B0G1H9B4K2,B0DGQQH4TT,アース・ペット スタミノール 食欲がない時に 犬・猫用 100g,153,2,0.01%,0.02%,221,3,0.01%,0.02%,90.53%,100.00%,32,0,20.92%,0.00%,"￥60,448",￥0,31,0
B0HC1KZX44,B0HC1KZX44,【セット品】クーリア クリアジェムステッカー 6種セット エンジェル ストロベリー レモン グレープ ソーダ プラネット 透明 ジェムシール デコレーション 手帳 ノート スマホ コラージュ,859,5,0.05%,0.05%,"1,277",7,0.05%,0.04%,100.00%,100.00%,32,0,3.73%,0.00%,"￥80,760",￥0,31,0
B0DQ7VK36R,B0DQ7VK36R,デビフ dbf おさんぽくん ササミ と 鶏肉&レバー 60g(15g×4袋) ×４袋セット 犬用 おやつ 2種 アソート,104,1,0.01%,0.01%,157,1,0.01%,0.01%,99.25%,100.00%,47,1,45.19%,100.00%,"￥65,706","￥1,398",28,1
B0FL244HK2,B0FL244HK2,【セット品】 いなば ちゅ～る トッパー ドライ 3種 (180g×3) 合計３袋セット 犬用 おやつ ドックフード アソート,151,0,0.01%,0.00%,234,0,0.01%,0.00%,98.54%,0.00%,28,0,18.54%,0.00%,"￥42,226",￥0,28,0
B0FV7TS5Y7,B0FV7TS5Y7,【5種セット】 いなば トッパーまぜて ちゅ〜るボール (まぐろ/かつお/とりささみ/まぐろかつお節味/とりささみ本格だし) 猫 おやつ キャットフード アソート まとめ買い,164,0,0.01%,0.00%,220,0,0.01%,0.00%,98.99%,0.00%,27,0,16.46%,0.00%,"￥39,960",￥0,27,0
B0H7R5YVM7,B0H7R5YVM7,【まとめ買い】はだまも お肌の虫よけミスト 200ml×3個セット 虫よけスプレー ディート無配合 イカリジン配合 お肌にやさしい ミストタイプ 4種のうるおい成分配合 家族で使える アース製薬,280,16,0.02%,0.15%,356,23,0.01%,0.15%,100.00%,100.00%,30,3,10.71%,18.75%,"￥80,400","￥7,940",27,2
