"実行日時: 2026-08-03 19:51:30"

"検索条件"
"集計単位: 商品別"
"集計期間: 月ごとに集計 2026-07 - 2026-07"
"■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■"
"コントロールカラム","日付","商品ページURL","商品管理番号","入札単価","CTR(%)","商品CPC","クリック数(合計)","実績額(合計)","CPC実績(合計)","クリック数(新規)","実績額(新規)","CPC実績(新規)","クリック数(既存)","実績額(既存)","CPC実績(既存)","売上金額(合計12時間)","売上件数(合計12時間)","CVR(合計12時間)(%)","ROAS(合計12時間)(%)","注文獲得単価(合計12時間)","売上金額(合計720時間)","売上件数(合計720時間)","CVR(合計720時間)(%)","ROAS(合計720時間)(%)","注文獲得単価(合計720時間)","売上金額(新規12時間)","売上件数(新規12時間)","CVR(新規12時間)(%)","ROAS(新規12時間)(%)","注文獲得単価(新規12時間)","売上金額(新規720時間)","売上件数(新規720時間)","CVR(新規720時間)(%)","ROAS(新規720時間)(%)","注文獲得単価(新規720時間)","売上金額(既存12時間)","売上件数(既存12時間)","CVR(既存12時間)(%)","ROAS(既存12時間)(%)","注文獲得単価(既存12時間)","売上金額(既存720時間)","売上件数(既存720時間)","CVR(既存720時間)(%)","ROAS(既存720時間)(%)","注文獲得単価(既存720時間)"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0007/","set-0007","20","0.02","","9","150","17","9","150","17","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0006/","set-0006","20","0.03","","13","260","20","13","260","20","0","0","0","2980","1","7.69","1146.15","260","2980","1","7.69","1146.15","260","2980","1","7.69","1146.15","260","2980","1","7.69","1146.15","260","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0005/","set-0005","20","0.12","","12","220","19","12","220","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0004/","set-0004","20","0.27","","41","780","20","41","780","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0003/","set-0003","20","1.03","","5","90","18","5","90","18","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0002/","set-0002","20","0.00","","18","180","10","18","180","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/set-0001/","set-0001","20","0.04","","36","700","20","36","700","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/br-0001/","br-0001","20","0.03","","51","982","20","51","982","20","0","0","0","5340","2","3.92","543.78","491","7120","3","5.88","725.05","328","5340","2","3.92","543.78","491","7120","3","5.88","725.05","328","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0hc1dp7rm/","b0hc1dp7rm","20","0.35","","3","60","20","3","60","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0hbt7bpct/","b0hbt7bpct","20","0.00","","11","110","10","11","110","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0hbsvxz7c/","b0hbsvxz7c","20","0.18","","1","16","16","1","16","16","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0hb3sfnpm/","b0hb3sfnpm","20","0.01","","1","10","10","1","10","10","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0hb31z1y8/","b0hb31z1y8","20","0.05","","2","40","20","2","40","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0h9qpjhch/","b0h9qpjhch","20","0.24","","10","200","20","10","200","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0h9qjns2q/","b0h9qjns2q","20","0.19","","8","150","19","8","150","19","0","0","0","3280","1","12.50","2186.66","150","3280","1","12.50","2186.66","150","3280","1","12.50","2186.66","150","3280","1","12.50","2186.66","150","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0h9jy5p2b/","b0h9jy5p2b","20","0.32","","4","80","20","4","80","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0h9f4sxzp/","b0h9f4sxzp","20","0.01","","5","90","18","5","90","18","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0h6xvg97y-6/","b0h6xvg97y-6","20","0.11","","22","390","18","22","390","18","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0gycl5f3r/","b0gycl5f3r","20","0.41","","2","40","20","2","40","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0gmw6x6kr/","b0gmw6x6kr","20","0.02","","1","20","20","1","20","20","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0gm6y6yj4-2/","b0gm6y6yj4-2","20","0.02","","15","267","18","15","267","18","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0gm6xmjmn-2/","b0gm6xmjmn-2","20","0.02","","21","370","18","21","370","18","0","0","0","4218","1","4.76","1140.00","370","4218","1","4.76","1140.00","370","4218","1","4.76","1140.00","370","4218","1","4.76","1140.00","370","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0gm6xjjst-2/","b0gm6xjjst-2","20","0.01","","7","130","19","7","130","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g5gjxzjg/","b0g5gjxzjg","20","0.03","","22","350","16","22","350","16","0","0","0","2520","1","4.54","720.00","350","2520","1","4.54","720.00","350","2520","1","4.54","720.00","350","2520","1","4.54","720.00","350","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g4mhkqp8-2/","b0g4mhkqp8-2","20","0.01","","17","294","18","17","294","18","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年07月","https://item.rakuten.co.jp/momizistore/b0g4mfq7cw-2/","b0g4mfq7cw-2","20","0.01","","13","239","19","13","239","19","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
